#  California Precipitation
# Units: Inches
Date,Value
201601,6.39
201602,1.21
201603,4.88
201604,1.52
201605,0.77
201606,0.27
201607,0.06
201608,0.06
201609,0.1
201610,3.82
201611,2.16
201612,4.49
201701,9.92
201702,7.94
201703,2.45
201704,2.76
201705,0.43
201706,0.26
201707,0.09
201708,0.27
201709,0.43
201710,0.34
201711,2.98
201712,0.3
201801,3.33
201802,0.57
201803,5.12
201804,2.13
201805,0.66
201806,0.07
201807,0.22
201808,0.04
201809,0.06
201810,0.7
201811,2.81
201812,2.38
201901,5.23
201902,8.57
201903,4.05
201904,1.22
201905,2.5
201906,0.09
201907,0.08
201908,0.13
201909,0.61
201910,0.16
201911,1.61
201912,4.87
202001,2.06
202002,0.21
202003,3.19
202004,1.99
202005,1.2
202006,0.16
202007,0.05
202008,0.1
202009,0.04
202010,0.05
202011,1.19
202012,1.83
202101,3.65
202102,1.39
202103,1.73
202104,0.29
202105,0.11
202106,0.14
202107,0.29
202108,0.1
202109,0.36
202110,3.66
202111,0.95
202112,6.26
202201,0.45
202202,0.24
202203,1.05
202204,1.72
202205,0.3
202206,0.43
202207,0.13
202208,0.4
202209,0.83
202210,0.16
202211,2
202212,6.39
202301,8.25
202302,3.38
202303,7.42
202304,0.51
202305,0.99
202306,0.41
202307,0.02
202308,0.75
202309,0.61
202310,0.44
202311,1.31
202312,3.29
202401,4.63
202402,6.62
202403,4.21
202404,1.3
202405,0.69
202406,0.04
202407,0.09
202408,0.23
202409,0.12
202410,0.37
202411,4.05
202412,3.74
