Date,Value
1/1/00,45.8
2/1/00,47.2
3/1/00,50.2
4/1/00,57.8
5/1/00,63.9
6/1/00,72.2
7/1/00,73.5
8/1/00,75
9/1/00,69.1
10/1/00,58.4
11/1/00,46
12/1/00,46.5
1/1/01,42.3
2/1/01,43.1
3/1/01,52.6
4/1/01,52
5/1/01,68.6
6/1/01,71.4
7/1/01,74.2
8/1/01,76
9/1/01,71.3
10/1/01,63.6
11/1/01,51.6
12/1/01,42.8
1/1/02,42.4
2/1/02,48.2
3/1/02,48.5
4/1/02,56
5/1/02,61.5
6/1/02,71.2
7/1/02,77.4
8/1/02,74.4
9/1/02,70.9
10/1/02,59.4
11/1/02,52.3
12/1/02,44
1/1/03,50
2/1/03,45.7
3/1/03,51.4
4/1/03,50
5/1/03,62
6/1/03,71.2
7/1/03,78.7
8/1/03,75
9/1/03,72.9
10/1/03,65.4
11/1/03,46.8
12/1/03,44
1/1/04,43.5
2/1/04,44.2
3/1/04,56.9
4/1/04,57.3
5/1/04,63.2
6/1/04,70.4
7/1/04,76.1
8/1/04,74.8
9/1/04,69.4
10/1/04,58.2
11/1/04,47.7
12/1/04,44.6
1/1/05,44.1
2/1/05,47.1
3/1/05,51.1
4/1/05,53
5/1/05,62.2
6/1/05,66.2
7/1/05,78.4
8/1/05,75.8
9/1/05,66.9
10/1/05,59.9
11/1/05,52.4
12/1/05,46.1
1/1/06,44.6
2/1/06,47.7
3/1/06,44
4/1/06,53
5/1/06,64.6
6/1/06,73.2
7/1/06,79.3
8/1/06,73.8
9/1/06,69.5
10/1/06,58.8
11/1/06,51.3
12/1/06,43.9
1/1/07,41.5
2/1/07,46.7
3/1/07,54.4
4/1/07,56.3
5/1/07,64.1
6/1/07,70.5
7/1/07,76.9
8/1/07,76.1
9/1/07,67.5
10/1/07,58.6
11/1/07,53.3
12/1/07,41.2
1/1/08,41.1
2/1/08,45.8
3/1/08,50.3
4/1/08,54.4
5/1/08,61.7
6/1/08,71.1
7/1/08,76.5
8/1/08,76.6
9/1/08,71.8
10/1/08,61.8
11/1/08,53.9
12/1/08,42
1/1/09,46.9
2/1/09,45.2
3/1/09,49.2
4/1/09,54.3
5/1/09,66.7
6/1/09,67.5
7/1/09,77.6
8/1/09,74.8
9/1/09,73
10/1/09,58.1
11/1/09,50.9
12/1/09,41.8
1/1/10,45.2
2/1/10,46.8
3/1/10,49
4/1/10,50.9
5/1/10,56.9
6/1/10,69.1
7/1/10,76.1
8/1/10,73.4
9/1/10,70.4
10/1/10,60.5
11/1/10,48.6
12/1/10,45.8
1/1/11,45.2
2/1/11,43.4
3/1/11,48.7
4/1/11,53.4
5/1/11,57.6
6/1/11,66.9
7/1/11,74.2
8/1/11,75.2
9/1/11,72.2
10/1/11,61.4
11/1/11,48.2
12/1/11,42.8
1/1/12,46.5
2/1/12,46.5
3/1/12,48.8
4/1/12,55.8
5/1/12,63.9
6/1/12,69.3
7/1/12,74.7
8/1/12,77.8
9/1/12,73.1
10/1/12,62.2
11/1/12,52.5
12/1/12,43
1/1/13,42.1
2/1/13,45.3
3/1/13,53.8
4/1/13,58.2
5/1/13,63.8
6/1/13,72.4
7/1/13,78
8/1/13,74.4
9/1/13,69.3
10/1/13,58.5
11/1/13,51.9
12/1/13,44.1
1/1/14,50.1
2/1/14,49.8
3/1/14,53.5
4/1/14,57.7
5/1/14,64.6
6/1/14,71.9
7/1/14,78.4
8/1/14,74.9
9/1/14,72.2
10/1/14,64.4
11/1/14,53.1
12/1/14,46.8
1/1/15,48.6
2/1/15,53.2
3/1/15,56.9
4/1/15,56.7
5/1/15,60.8
6/1/15,74.4
7/1/15,75
8/1/15,76.5
9/1/15,72.1
10/1/15,65
11/1/15,47.6
12/1/15,42.3
1/1/16,44.5
2/1/16,51.8
3/1/16,52.5
4/1/16,57.9
5/1/16,62.2
6/1/16,73.5
7/1/16,76.8
8/1/16,76.2
9/1/16,69.5
10/1/16,60.5
11/1/16,52.8
12/1/16,43.4
1/1/17,42.2
2/1/17,47.3
3/1/17,53.4
4/1/17,55.6
5/1/17,63.4
6/1/17,72.8
7/1/17,78.8
8/1/17,77.9
9/1/17,69.8
10/1/17,62
11/1/17,53.4
12/1/17,47.5
1/1/18,48.9
2/1/18,46.6
3/1/18,49
4/1/18,57.2
5/1/18,63
6/1/18,71.4
7/1/18,79.6
8/1/18,76.4
9/1/18,71.1
10/1/18,60.9
11/1/18,52.6
12/1/18,44.8
1/1/19,46.1
2/1/19,40.6
3/1/19,48.9
4/1/19,58.2
5/1/19,58.6
6/1/19,71.1
7/1/19,75.5
8/1/19,76.8
9/1/19,68.9
10/1/19,58.8
11/1/19,53
12/1/19,44.4
1/1/20,45.3
2/1/20,49.2
3/1/20,48
4/1/20,56.6
5/1/20,64.6
6/1/20,70.4
7/1/20,76.6
8/1/20,78.9
9/1/20,74
10/1/20,66.2
11/1/20,50.9
12/1/20,45.5
1/1/21,45.5
2/1/21,47.4
3/1/21,48.2
4/1/21,58.2
5/1/21,64.5
6/1/21,74.9
7/1/21,79.8
8/1/21,77
9/1/21,72.2
10/1/21,58.2
11/1/21,54.8
12/1/21,43.5
1/1/22,46.2
2/1/22,47.4
3/1/22,52.9
4/1/22,55.9
5/1/22,62.4
6/1/22,72
7/1/22,77.6
8/1/22,78.4
9/1/22,73.8
10/1/22,63.7
11/1/22,46.8
12/1/22,43.5
1/1/23,42.6
2/1/23,42.7
3/1/23,44.2
4/1/23,55.3
5/1/23,62
6/1/23,67
7/1/23,79
8/1/23,75.9
9/1/23,68.1
10/1/23,62.2
11/1/23,51.9
12/1/23,48.1
1/1/24,45.7
2/1/24,46.3
3/1/24,48.8
4/1/24,55.2
5/1/24,63
6/1/24,74
7/1/24,81.5
8/1/24,76.1
9/1/24,72.5
10/1/24,65.5
11/1/24,48.4
12/1/24,48.4
1/1/25,45.1
2/1/25,48.7
3/1/25,49.7
4/1/25,56.4
5/1/25,64.5
6/1/25,72.5
7/1/25,75.2
8/1/25,77.2
9/1/25,71.4
10/1/25,60.1
11/1/25,54.2
12/1/25,49.9
1/1/26,48.3
2/1/26,50.3
3/1/26,61.4
