Date,Value
1/1/00,0
2/1/00,0
3/1/00,1
4/1/00,20
5/1/00,63
6/1/00,158
7/1/00,186
8/1/00,250
9/1/00,139
10/1/00,14
11/1/00,0
12/1/00,0
1/1/01,0
2/1/01,0
3/1/01,4
4/1/01,2
5/1/01,106
6/1/01,155
7/1/01,197
8/1/01,248
9/1/01,160
10/1/01,56
11/1/01,4
12/1/01,0
1/1/02,0
2/1/02,0
3/1/02,0
4/1/02,10
5/1/02,29
6/1/02,127
7/1/02,261
8/1/02,209
9/1/02,172
10/1/02,15
11/1/02,7
12/1/02,0
1/1/03,10
2/1/03,0
3/1/03,4
4/1/03,1
5/1/03,35
6/1/03,116
7/1/03,320
8/1/03,272
9/1/03,206
10/1/03,93
11/1/03,0
12/1/03,0
1/1/04,0
2/1/04,0
3/1/04,20
4/1/04,18
5/1/04,56
6/1/04,115
7/1/04,246
8/1/04,230
9/1/04,158
10/1/04,14
11/1/04,0
12/1/04,0
1/1/05,0
2/1/05,0
3/1/05,1
4/1/05,6
5/1/05,44
6/1/05,70
7/1/05,307
8/1/05,262
9/1/05,90
10/1/05,25
11/1/05,8
12/1/05,0
1/1/06,0
2/1/06,0
3/1/06,0
4/1/06,2
5/1/06,58
6/1/06,193
7/1/06,377
8/1/06,212
9/1/06,141
10/1/06,19
11/1/06,8
12/1/06,0
1/1/07,0
2/1/07,0
3/1/07,10
4/1/07,13
5/1/07,49
6/1/07,124
7/1/07,269
8/1/07,283
9/1/07,106
10/1/07,27
11/1/07,7
12/1/07,0
1/1/08,0
2/1/08,0
3/1/08,4
4/1/08,11
5/1/08,31
6/1/08,157
7/1/08,265
8/1/08,282
9/1/08,191
10/1/08,65
11/1/08,12
12/1/08,0
1/1/09,4
2/1/09,0
3/1/09,1
4/1/09,8
5/1/09,87
6/1/09,79
7/1/09,289
8/1/09,245
9/1/09,227
10/1/09,20
11/1/09,5
12/1/09,0
1/1/10,0
2/1/10,0
3/1/10,0
4/1/10,1
5/1/10,14
6/1/10,100
7/1/10,214
8/1/10,192
9/1/10,154
10/1/10,28
11/1/10,0
12/1/10,0
1/1/11,0
2/1/11,0
3/1/11,1
4/1/11,9
5/1/11,16
6/1/11,73
7/1/11,217
8/1/11,235
9/1/11,180
10/1/11,43
11/1/11,0
12/1/11,0
1/1/12,4
2/1/12,0
3/1/12,1
4/1/12,13
5/1/12,54
6/1/12,108
7/1/12,211
8/1/12,334
9/1/12,231
10/1/12,56
11/1/12,7
12/1/12,0
1/1/13,0
2/1/13,0
3/1/13,8
4/1/13,22
5/1/13,63
6/1/13,161
7/1/13,289
8/1/13,235
9/1/13,160
10/1/13,20
11/1/13,5
12/1/13,0
1/1/14,10
2/1/14,3
3/1/14,10
4/1/14,22
5/1/14,80
6/1/14,151
7/1/14,313
8/1/14,253
9/1/14,224
10/1/14,96
11/1/14,11
12/1/14,0
1/1/15,5
2/1/15,7
3/1/15,26
4/1/15,18
5/1/15,23
6/1/15,197
7/1/15,233
8/1/15,300
9/1/15,237
10/1/15,111
11/1/15,0
12/1/15,0
1/1/16,0
2/1/16,10
3/1/16,6
4/1/16,22
5/1/16,33
6/1/16,201
7/1/16,282
8/1/16,267
9/1/16,145
10/1/16,47
11/1/16,10
12/1/16,0
1/1/17,0
2/1/17,0
3/1/17,10
4/1/17,20
5/1/17,47
6/1/17,180
7/1/17,336
8/1/17,320
9/1/17,161
10/1/17,76
11/1/17,14
12/1/17,3
1/1/18,8
2/1/18,0
3/1/18,1
4/1/18,20
5/1/18,35
6/1/18,138
7/1/18,377
8/1/18,298
9/1/18,171
10/1/18,45
11/1/18,8
12/1/18,0
1/1/19,0
2/1/19,0
3/1/19,1
4/1/19,22
5/1/19,14
6/1/19,134
7/1/19,244
8/1/19,284
9/1/19,155
10/1/19,36
11/1/19,6
12/1/19,0
1/1/20,0
2/1/20,0
3/1/20,0
4/1/20,13
5/1/20,74
6/1/20,130
7/1/20,250
8/1/20,355
9/1/20,259
10/1/20,120
11/1/20,5
12/1/20,0
1/1/21,0
2/1/21,0
3/1/21,0
4/1/21,20
5/1/21,53
6/1/21,202
7/1/21,344
8/1/21,296
9/1/21,192
10/1/21,20
11/1/21,19
12/1/21,0
1/1/22,3
2/1/22,0
3/1/22,6
4/1/22,18
5/1/22,43
6/1/22,179
7/1/22,282
8/1/22,340
9/1/22,271
10/1/22,63
11/1/22,0
12/1/22,0
1/1/23,0
2/1/23,0
3/1/23,0
4/1/23,10
5/1/23,27
6/1/23,58
7/1/23,327
8/1/23,274
9/1/23,105
10/1/23,59
11/1/23,6
12/1/23,0
1/1/24,0
2/1/24,0
3/1/24,0
4/1/24,8
5/1/24,36
6/1/24,177
7/1/24,388
8/1/24,282
9/1/24,200
10/1/24,101
11/1/24,0
12/1/24,0
1/1/25,0
2/1/25,3
3/1/25,1
4/1/25,12
5/1/25,58
6/1/25,153
7/1/25,205
8/1/25,304
9/1/25,187
10/1/25,37
11/1/25,8
12/1/25,5
1/1/26,6
2/1/26,5
3/1/26,67
