#  California Cooling Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
201601,0
201602,10
201603,6
201604,22
201605,33
201606,201
201607,282
201608,267
201609,145
201610,47
201611,10
201612,0
201701,0
201702,0
201703,10
201704,20
201705,47
201706,180
201707,336
201708,320
201709,161
201710,76
201711,14
201712,3
201801,8
201802,0
201803,1
201804,20
201805,35
201806,138
201807,377
201808,298
201809,171
201810,45
201811,8
201812,0
201901,0
201902,0
201903,1
201904,22
201905,14
201906,134
201907,244
201908,284
201909,155
201910,36
201911,6
201912,0
202001,0
202002,0
202003,0
202004,13
202005,74
202006,130
202007,250
202008,355
202009,259
202010,120
202011,5
202012,0
202101,0
202102,0
202103,0
202104,20
202105,53
202106,202
202107,344
202108,296
202109,192
202110,20
202111,19
202112,0
202201,3
202202,0
202203,6
202204,18
202205,43
202206,179
202207,282
202208,340
202209,271
202210,63
202211,0
202212,0
202301,0
202302,0
202303,0
202304,10
202305,27
202306,58
202307,327
202308,274
202309,105
202310,59
202311,6
202312,0
202401,0
202402,0
202403,0
202404,8
202405,36
202406,177
202407,388
202408,282
202409,200
202410,101
202411,0
202412,0
