Date,Value
1/1/00,478
2/1/00,427
3/1/00,414
4/1/00,235
5/1/00,121
6/1/00,23
7/1/00,11
8/1/00,2
9/1/00,25
10/1/00,193
11/1/00,464
12/1/00,443
1/1/01,594
2/1/01,530
3/1/01,358
4/1/01,380
5/1/01,69
6/1/01,26
7/1/01,7
8/1/01,2
9/1/01,18
10/1/01,94
11/1/01,325
12/1/01,567
1/1/02,582
2/1/02,388
3/1/02,452
4/1/02,293
5/1/02,179
6/1/02,37
7/1/02,0
8/1/02,3
9/1/02,15
10/1/02,184
11/1/02,283
12/1/02,536
1/1/03,355
2/1/03,454
3/1/03,374
4/1/03,409
5/1/03,163
6/1/03,44
7/1/03,0
8/1/03,2
9/1/03,9
10/1/03,61
11/1/03,436
12/1/03,533
1/1/04,546
2/1/04,502
3/1/04,233
4/1/04,233
5/1/04,126
6/1/04,44
7/1/04,1
8/1/04,1
9/1/04,20
10/1/04,189
11/1/04,440
12/1/04,513
1/1/05,520
2/1/05,421
3/1/05,380
4/1/05,330
5/1/05,146
6/1/05,84
7/1/05,0
8/1/05,0
9/1/05,51
10/1/05,153
11/1/05,279
12/1/05,456
1/1/06,514
2/1/06,398
3/1/06,585
4/1/06,355
5/1/06,121
6/1/06,15
7/1/06,0
8/1/06,5
9/1/06,24
10/1/06,176
11/1/06,307
12/1/06,521
1/1/07,609
2/1/07,436
3/1/07,298
4/1/07,273
5/1/07,135
6/1/07,39
7/1/07,0
8/1/07,1
9/1/07,41
10/1/07,163
11/1/07,281
12/1/07,606
1/1/08,601
2/1/08,457
3/1/08,388
4/1/08,290
5/1/08,168
6/1/08,27
7/1/08,1
8/1/08,1
9/1/08,12
10/1/08,93
11/1/08,247
12/1/08,583
1/1/09,435
2/1/09,472
3/1/09,428
4/1/09,307
5/1/09,89
6/1/09,68
7/1/09,0
8/1/09,1
9/1/09,5
10/1/09,174
11/1/09,331
12/1/09,577
1/1/10,492
2/1/10,437
3/1/10,420
4/1/10,388
5/1/10,248
6/1/10,55
7/1/10,6
8/1/10,9
9/1/10,20
10/1/10,141
11/1/10,394
12/1/10,482
1/1/11,482
2/1/11,523
3/1/11,437
4/1/11,312
5/1/11,240
6/1/11,80
7/1/11,4
8/1/11,3
9/1/11,12
10/1/11,118
11/1/11,402
12/1/11,574
1/1/12,447
2/1/12,439
3/1/12,447
4/1/12,273
5/1/12,130
6/1/12,51
7/1/12,4
8/1/12,0
9/1/12,7
10/1/12,100
11/1/12,291
12/1/12,559
1/1/13,576
2/1/13,476
3/1/13,317
4/1/13,219
5/1/13,112
6/1/13,22
7/1/13,0
8/1/13,2
9/1/13,21
10/1/13,166
11/1/13,303
12/1/13,498
1/1/14,341
2/1/14,352
3/1/14,300
4/1/14,217
5/1/14,91
6/1/14,25
7/1/14,0
8/1/14,1
9/1/14,7
10/1/14,60
11/1/14,257
12/1/14,444
1/1/15,397
2/1/15,270
3/1/15,212
4/1/15,236
5/1/15,196
6/1/15,13
7/1/15,0
8/1/15,1
9/1/15,7
10/1/15,48
11/1/15,398
12/1/15,569
1/1/16,509
2/1/16,271
3/1/16,337
4/1/16,213
5/1/16,159
6/1/16,14
7/1/16,1
8/1/16,0
9/1/16,21
10/1/16,127
11/1/16,268
12/1/16,525
1/1/17,574
2/1/17,420
3/1/17,305
4/1/17,245
5/1/17,133
6/1/17,17
7/1/17,0
8/1/17,0
9/1/17,16
10/1/17,87
11/1/17,252
12/1/17,400
1/1/18,373
2/1/18,419
3/1/18,428
4/1/18,240
5/1/18,159
6/1/18,31
7/1/18,0
8/1/18,1
9/1/18,18
10/1/18,112
11/1/18,270
12/1/18,495
1/1/19,474
2/1/19,589
3/1/19,434
4/1/19,215
5/1/19,240
6/1/19,32
7/1/19,3
8/1/19,0
9/1/19,23
10/1/19,141
11/1/19,284
12/1/19,515
1/1/20,497
2/1/20,367
3/1/20,470
4/1/20,258
5/1/20,102
6/1/20,32
7/1/20,1
8/1/20,0
9/1/20,2
10/1/20,41
11/1/20,328
12/1/20,472
1/1/21,483
2/1/21,406
3/1/21,472
4/1/21,230
5/1/21,125
6/1/21,12
7/1/21,0
8/1/21,0
9/1/21,11
10/1/21,171
11/1/21,226
12/1/21,553
1/1/22,462
2/1/22,406
3/1/22,334
4/1/22,252
5/1/22,146
6/1/22,18
7/1/22,0
8/1/22,0
9/1/22,3
10/1/22,86
11/1/22,431
12/1/22,534
1/1/23,582
2/1/23,542
3/1/23,566
4/1/23,288
5/1/23,186
6/1/23,93
7/1/23,0
8/1/23,0
9/1/23,39
10/1/23,95
11/1/23,290
12/1/23,404
1/1/24,494
2/1/24,450
3/1/24,445
4/1/24,299
5/1/24,161
6/1/24,18
7/1/24,0
8/1/24,1
9/1/24,10
10/1/24,54
11/1/24,388
12/1/24,397
1/1/25,505
2/1/25,369
3/1/25,434
4/1/25,278
5/1/25,118
6/1/25,26
7/1/25,6
8/1/25,0
9/1/25,11
10/1/25,137
11/1/25,259
12/1/25,358
1/1/26,392
2/1/26,321
3/1/26,128
