#  California Heating Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
201601,509
201602,271
201603,337
201604,213
201605,159
201606,14
201607,1
201608,0
201609,21
201610,127
201611,268
201612,525
201701,574
201702,420
201703,305
201704,245
201705,133
201706,17
201707,0
201708,0
201709,16
201710,87
201711,252
201712,400
201801,373
201802,419
201803,428
201804,240
201805,159
201806,31
201807,0
201808,1
201809,18
201810,112
201811,270
201812,495
201901,474
201902,589
201903,434
201904,215
201905,240
201906,32
201907,3
201908,0
201909,23
201910,141
201911,284
201912,515
202001,497
202002,367
202003,470
202004,258
202005,102
202006,32
202007,1
202008,0
202009,2
202010,41
202011,328
202012,472
202101,483
202102,406
202103,472
202104,230
202105,125
202106,12
202107,0
202108,0
202109,11
202110,171
202111,226
202112,553
202201,462
202202,406
202203,334
202204,252
202205,146
202206,18
202207,0
202208,0
202209,3
202210,86
202211,431
202212,534
202301,582
202302,542
202303,566
202304,288
202305,186
202306,93
202307,0
202308,0
202309,39
202310,95
202311,290
202312,404
202401,494
202402,450
202403,445
202404,299
202405,161
202406,18
202407,0
202408,1
202409,10
202410,54
202411,388
202412,397
