#  California Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,52.9
201602,64.2
201603,63.7
201604,70.4
201605,74.8
201606,88.3
201607,91.9
201608,91.2
201609,84.2
201610,72
201611,63.7
201612,53
201701,50.3
201702,55.6
201703,65.1
201704,67.7
201705,77.2
201706,87.3
201707,93.7
201708,92.1
201709,83.1
201710,76.5
201711,63.7
201712,59.7
201801,58.6
201802,59
201803,59.7
201804,70
201805,75.9
201806,86.5
201807,94
201808,91
201809,86
201810,73.5
201811,64.5
201812,53.8
201901,55.2
201902,49.2
201903,59.2
201904,70.3
201905,70.2
201906,85.3
201907,90
201908,91.5
201909,82.5
201910,73.3
201911,65.6
201912,52.2
202001,55.1
202002,62.1
202003,58.3
202004,68.6
202005,78.4
202006,84.9
202007,92
202008,93.6
202009,88.8
202010,81.2
202011,63.2
202012,56.7
202101,55.6
202102,58.7
202103,60.3
202104,72.5
202105,78.9
202106,89.8
202107,94.2
202108,91.8
202109,86.6
202110,70.3
202111,66.1
202112,52.3
202201,57.9
202202,61.2
202203,66.2
202204,69.2
202205,76.4
202206,86.9
202207,92.3
202208,92.9
202209,87.6
202210,77.6
202211,58.4
202212,52.4
202301,51.2
202302,53.5
202303,53.4
202304,68.3
202305,74.5
202306,80.2
202307,94
202308,89.8
202309,80.9
202310,75.2
202311,63.5
202312,57.8
202401,54.3
202402,55.2
202403,58.9
202404,67.8
202405,76.9
202406,88.8
202407,96.8
202408,90.7
202409,87.2
202410,79.5
202411,59.1
202412,58.7
