#  California Minimum Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,36.1
201602,39.3
201603,41.3
201604,45.5
201605,49.6
201606,58.6
201607,61.6
201608,61.2
201609,54.8
201610,49
201611,41.8
201612,33.9
201701,34
201702,39
201703,41.6
201704,43.6
201705,49.7
201706,58.2
201707,63.9
201708,63.6
201709,56.6
201710,47.4
201711,43.1
201712,35.2
201801,39.1
201802,34.2
201803,38.2
201804,44.3
201805,50.1
201806,56.3
201807,65.1
201808,61.8
201809,56.1
201810,48.3
201811,40.7
201812,35.7
201901,36.9
201902,32.1
201903,38.5
201904,46.1
201905,46.9
201906,56.9
201907,61.1
201908,62
201909,55.3
201910,44.2
201911,40.4
201912,36.7
202001,35.6
202002,36.3
202003,37.7
202004,44.5
202005,50.9
202006,56
202007,61.1
202008,64.2
202009,59.1
202010,51.2
202011,38.5
202012,34.3
202101,35.4
202102,36
202103,36
202104,44
202105,50.2
202106,60
202107,65.4
202108,62.3
202109,57.7
202110,46.2
202111,43.4
202112,34.7
202201,34.4
202202,33.6
202203,39.7
202204,42.6
202205,48.3
202206,57
202207,62.8
202208,64
202209,60.1
202210,49.7
202211,35.2
202212,34.7
202301,34
202302,32
202303,34.9
202304,42.2
202305,49.6
202306,53.7
202307,63.9
202308,61.9
202309,55.3
202310,49.1
202311,40.3
202312,38.4
202401,37
202402,37.5
202403,38.7
202404,42.6
202405,49.2
202406,59.3
202407,66.2
202408,61.4
202409,57.8
202410,51.5
202411,37.6
202412,38.1
