Date,Value
1/1/00,-0.05
2/1/00,1
3/1/00,-0.54
4/1/00,-0.56
5/1/00,-0.42
6/1/00,-0.44
7/1/00,-0.8
8/1/00,-0.79
9/1/00,-0.83
10/1/00,-0.11
11/1/00,-0.76
12/1/00,-1.93
1/1/01,-2.35
2/1/01,-2.06
3/1/01,-2.36
4/1/01,-1.99
5/1/01,-2.36
6/1/01,-2.66
7/1/01,-2.79
8/1/01,-2.89
9/1/01,-2.82
10/1/01,-3.09
11/1/01,-2.24
12/1/01,-1.42
1/1/02,-1.69
2/1/02,-2.24
3/1/02,-2.48
4/1/02,-2.68
5/1/02,-2.58
6/1/02,-2.76
7/1/02,-3.07
8/1/02,-3.28
9/1/02,-3.37
10/1/02,-3.77
11/1/02,0.09
12/1/02,1.6
1/1/03,0.69
2/1/03,0.37
3/1/03,0.1
4/1/03,1.4
5/1/03,1.53
6/1/03,1.53
7/1/03,-0.19
8/1/03,-0.01
9/1/03,-0.4
10/1/03,-1.35
11/1/03,-1.28
12/1/03,0.66
1/1/04,0.14
2/1/04,1.01
3/1/04,-1.19
4/1/04,-1.7
5/1/04,-2.15
6/1/04,-2.8
7/1/04,-3.26
8/1/04,-3.23
9/1/04,-3.26
10/1/04,1.6
11/1/04,1.26
12/1/04,1.73
1/1/05,2.33
2/1/05,2.28
3/1/05,2.21
4/1/05,2.09
5/1/05,3.17
6/1/05,3.83
7/1/05,4.58
8/1/05,4.08
9/1/05,3.55
10/1/05,3.01
11/1/05,2.42
12/1/05,3.46
1/1/06,3.49
2/1/06,2.84
3/1/06,3.71
4/1/06,4.61
5/1/06,-0.05
6/1/06,-0.14
7/1/06,-0.68
8/1/06,-1.1
9/1/06,-1.44
10/1/06,-1.78
11/1/06,-1.91
12/1/06,-2.02
1/1/07,-3.09
2/1/07,-2.81
3/1/07,-3.73
4/1/07,-3.65
5/1/07,-3.88
6/1/07,-4.28
7/1/07,-4.47
8/1/07,-4.42
9/1/07,-3.92
10/1/07,-3.33
11/1/07,-3.88
12/1/07,-3.75
1/1/08,-2.36
2/1/08,-2.33
3/1/08,-3.18
4/1/08,-3.53
5/1/08,-3.6
6/1/08,-3.98
7/1/08,-4.22
8/1/08,-4.2
9/1/08,-4.29
10/1/08,-4.3
11/1/08,-4.13
12/1/08,-3.99
1/1/09,-4.81
2/1/09,-4.15
3/1/09,-4.08
4/1/09,-4.2
5/1/09,-3.67
6/1/09,-3.39
7/1/09,-3.27
8/1/09,-3.28
9/1/09,-3.43
10/1/09,-2.51
11/1/09,-3
12/1/09,-3
1/1/10,0.67
2/1/10,0.66
3/1/10,0.22
4/1/10,1.22
5/1/10,1.5
6/1/10,1.93
7/1/10,1.94
8/1/10,1.53
9/1/10,1.04
10/1/10,1.99
11/1/10,1.84
12/1/10,3.14
1/1/11,1.98
2/1/11,1.82
3/1/11,3.03
4/1/11,2.47
5/1/11,2.82
6/1/11,3.42
7/1/11,3.84
8/1/11,3.5
9/1/11,-0.21
10/1/11,-0.08
