Date,Value
1/1/00,5.09
2/1/00,6.93
3/1/00,1.92
4/1/00,1.8
5/1/00,0.94
6/1/00,0.31
7/1/00,0.06
8/1/00,0.27
9/1/00,0.35
10/1/00,2.2
11/1/00,0.79
12/1/00,0.77
1/1/01,3.52
2/1/01,4.42
3/1/01,2.21
4/1/01,1.75
5/1/01,0.15
6/1/01,0.23
7/1/01,0.28
8/1/01,0.05
9/1/01,0.3
10/1/01,0.65
11/1/01,4.21
12/1/01,5.25
1/1/02,2.22
2/1/02,1.45
3/1/02,1.91
4/1/02,0.88
5/1/02,0.59
6/1/02,0.07
7/1/02,0.06
8/1/02,0.01
9/1/02,0.11
10/1/02,0.06
11/1/02,3.18
12/1/02,8.14
1/1/03,1.92
2/1/03,2.66
3/1/03,2.77
4/1/03,3.98
5/1/03,1.09
6/1/03,0.04
7/1/03,0.22
8/1/03,0.57
9/1/03,0.17
10/1/03,0.09
11/1/03,2.35
12/1/03,5.77
1/1/04,2.27
2/1/04,5.88
3/1/04,1.08
4/1/04,0.7
5/1/04,0.45
6/1/04,0.08
7/1/04,0.06
8/1/04,0.19
9/1/04,0.14
10/1/04,3.72
11/1/04,1.68
12/1/04,5.51
1/1/05,5.56
2/1/05,4.03
3/1/05,3.69
4/1/05,1.79
5/1/05,2.54
6/1/05,0.67
7/1/05,0.14
8/1/05,0.29
9/1/05,0.32
10/1/05,1
11/1/05,2.26
12/1/05,7.81
1/1/06,4.54
2/1/06,2.69
3/1/06,5.41
4/1/06,4.16
5/1/06,0.73
6/1/06,0.15
7/1/06,0.15
8/1/06,0.06
9/1/06,0.06
10/1/06,0.45
11/1/06,2.08
12/1/06,3.13
1/1/07,0.81
2/1/07,4.24
3/1/07,0.74
4/1/07,1.27
5/1/07,0.32
6/1/07,0.12
7/1/07,0.18
8/1/07,0.12
9/1/07,0.5
10/1/07,1.5
11/1/07,0.82
12/1/07,3.21
1/1/08,7.11
2/1/08,2.76
3/1/08,0.61
4/1/08,0.34
5/1/08,0.54
6/1/08,0.03
7/1/08,0.14
8/1/08,0.12
9/1/08,0.04
