,Commodity Year,Locations State Code,Location State Abbreviation,Location County Code,Location County Name,Commodity Code,Commodity Name,Insurance Plan Code,Insurance Plan Abbreviation,Stage Code,Damage Cause Code,Damage Cause Description,Month of Loss,Month of Loss Abbreviation,Determined Acres,Indemnity Amount
0,2018,01,AL,001,Autauga,0081,SOYBEANS,02,RP,R,31,Excess Moisture/Precipitation/Rain,05,MAY,20.0000000000,605.0000000000
1,2018,1,AL,3,Baldwin,21,COTTON,2,RP,UH,93,Wildlife,7,JUL,227.26,85309.0
2,2018,1,AL,3,Baldwin,41,CORN,2,RP,R,31,Excess Moisture/Precipitation/Rain,4,APR,20.0,611.0
3,2018,1,AL,3,Baldwin,75,PEANUTS,2,RP,R,11,Drought,5,MAY,35.0,3325.0
4,2018,1,AL,3,Baldwin,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,18.6,1767.0
5,2018,1,AL,3,Baldwin,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,37.3,3544.0
6,2018,1,AL,3,Baldwin,75,PEANUTS,1,YP,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,65.1,30380.0
7,2018,1,AL,3,Baldwin,75,PEANUTS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,35.0,3325.0
8,2018,1,AL,3,Baldwin,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,129.3,3914.0
9,2018,1,AL,3,Baldwin,84,POTATOES,90,APH,H,31,Excess Moisture/Precipitation/Rain,5,MAY,46.0,47605.0
10,2018,1,AL,3,Baldwin,84,POTATOES,90,APH,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,143.63,222265.0
11,2018,1,AL,3,Baldwin,84,POTATOES,90,APH,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,23.0,35577.0
12,2018,1,AL,3,Baldwin,84,POTATOES,90,APH,UH,44,Cold Wet Weather,4,APR,64.0,123300.0
13,2018,1,AL,3,Baldwin,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,831.0
14,2018,1,AL,3,Baldwin,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,266.0
15,2018,1,AL,3,Baldwin,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,7,JUL,0.0,307.0
16,2018,1,AL,3,Baldwin,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,5,MAY,0.0,202.0
17,2018,1,AL,3,Baldwin,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,5899.0
18,2018,1,AL,3,Baldwin,9999,All Other Crops,50,DO,2,31,Excess Moisture/Precipitation/Rain,6,JUN,169.8,129218.0
19,2018,1,AL,3,Baldwin,9999,All Other Crops,90,APH,H,42,Freeze,3,MAR,7.76,11955.0
20,2018,1,AL,5,Barbour,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,6330.0
21,2018,1,AL,5,Barbour,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,8830.0
22,2018,1,AL,7,Bibb,9999,All Other Crops,2,RP,P2,31,Excess Moisture/Precipitation/Rain,10,OCT,176.1,16366.0
23,2018,1,AL,9,Blount,34,PEACHES,90,APH,H,42,Freeze,3,MAR,5.3,7171.0
24,2018,1,AL,9,Blount,34,PEACHES,90,APH,UH,42,Freeze,3,MAR,0.4,484.0
25,2018,1,AL,11,Bullock,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,45.75,1385.0
26,2018,1,AL,11,Bullock,81,SOYBEANS,1,YP,P2,31,Excess Moisture/Precipitation/Rain,6,JUN,27.65,2025.5
27,2018,1,AL,11,Bullock,81,SOYBEANS,1,YP,P2,31,Excess Moisture/Precipitation/Rain,5,MAY,27.65,2025.5
28,2018,1,AL,11,Bullock,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,45.75,1385.0
29,2018,1,AL,11,Bullock,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,7680.0
30,2018,1,AL,11,Bullock,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,4026.0
31,2018,1,AL,13,Butler,9999,All Other Crops,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,49.5,4703.0
32,2018,1,AL,15,Calhoun,81,SOYBEANS,2,RP,R,44,Cold Wet Weather,5,MAY,114.8,3475.0
33,2018,1,AL,15,Calhoun,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,503.0
34,2018,1,AL,15,Calhoun,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,156.0
35,2018,1,AL,17,Chambers,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,111299.0
36,2018,1,AL,17,Chambers,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,114819.0
37,2018,1,AL,17,Chambers,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,186442.0
38,2018,1,AL,19,Cherokee,41,CORN,1,YP,R,31,Excess Moisture/Precipitation/Rain,4,APR,49.3,1507.0
39,2018,1,AL,19,Cherokee,41,CORN,2,RP,R,31,Excess Moisture/Precipitation/Rain,4,APR,26.6,813.0
