,year,Locations State Code,Location State Abbreviation,Location County Code,Location County Name,Commodity Code,Commodity Name,Insurance Plan Code,Insurance Plan Abbreviation,Stage Code,Damage Cause Code,Damage Cause Description,Month of Loss,Month of Loss Abbreviation,Determined Acres,Indemnity Amount,month_year,Average Temperature,Total CDD,Total HDD,Total Precipitation,Avg PDSI
0,2002,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,H,12,Heat,12.0,DEC,5.0,3578.0,2002-12-01,44.0,0,536,8.14,1.6
1,2002,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,H,43,Cold Winter,12.0,DEC,3.2,1322.0,2002-12-01,44.0,0,536,8.14,1.6
2,2002,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,H,61,Wind/Excess Wind,7.0,JUL,2.4,1185.2,2002-07-01,77.4,261,0,0.06,-3.07
3,2002,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,H,91,Fire,2.0,FEB,0.225,85.5,2002-02-01,48.2,0,388,1.45,-2.24
4,2002,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,UH,91,Fire,2.0,FEB,0.585,403.2,2002-02-01,48.2,0,388,1.45,-2.24
5,2002,6,CA,79,San Luis Obispo,19,AVOCADOS,46.0,ARC,H,44,Cold Wet Weather,3.0,MAR,41.08,50117.8,2002-03-01,48.5,0,452,1.91,-2.48
6,2002,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,12,Heat,12.0,DEC,29.8,7751.0,2002-12-01,44.0,0,536,8.14,1.6
7,2002,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,61,Wind/Excess Wind,2.0,FEB,5.0,1957.0,2002-02-01,48.2,0,388,1.45,-2.24
8,2003,6,CA,65,Riverside,19,AVOCADOS,46.0,ARC,UH,42.0,Freeze,2.0,FEB,4.0,1114.0,2003-02-01,45.7,0,454,2.66,0.37
9,2003,6,CA,65,Riverside,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,1.0,JAN,53.8,17562.0,2003-01-01,50.0,10,355,1.92,0.69
10,2003,6,CA,65,Riverside,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,12.0,DEC,25.1,42832.0,2003-12-01,44.0,0,533,5.77,0.66
11,2003,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,H,41.0,Frost,1.0,JAN,40.0,44705.0,2003-01-01,50.0,10,355,1.92,0.69
12,2003,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,UH,61.0,Wind/Excess Wind,4.0,APR,20.0,4600.0,2003-04-01,50.0,1,409,3.98,1.4
13,2003,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,1.0,JAN,169.4,56362.6,2003-01-01,50.0,10,355,1.92,0.69
14,2003,6,CA,73,San Diego,19,AVOCADOS,46.0,ARC,H,99.0,Other (Snow-Lightning-Etc.),1.0,JAN,1.2,164.4,2003-01-01,50.0,10,355,1.92,0.69
15,2003,6,CA,79,San Luis Obispo,19,AVOCADOS,46.0,ARC,H,41.0,Frost,1.0,JAN,37.5,41344.0,2003-01-01,50.0,10,355,1.92,0.69
16,2003,6,CA,79,San Luis Obispo,19,AVOCADOS,46.0,ARC,H,41.0,Frost,2.0,FEB,3.04,947.2,2003-02-01,45.7,0,454,2.66,0.37
17,2003,6,CA,79,San Luis Obispo,19,AVOCADOS,46.0,ARC,H,44.0,Cold Wet Weather,2.0,FEB,36.79,14284.4,2003-02-01,45.7,0,454,2.66,0.37
18,2003,6,CA,79,San Luis Obispo,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,12.0,DEC,50.47,21123.4,2003-12-01,44.0,0,533,5.77,0.66
19,2003,6,CA,83,Santa Barbara,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,1.0,JAN,30.2,35275.0,2003-01-01,50.0,10,355,1.92,0.69
20,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,41.0,Frost,2.0,FEB,8.3,3211.0,2003-02-01,45.7,0,454,2.66,0.37
21,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,UH,41.0,Frost,1.0,JAN,5.5,259.0,2003-01-01,50.0,10,355,1.92,0.69
22,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,42.0,Freeze,1.0,JAN,17.0,19768.0,2003-01-01,50.0,10,355,1.92,0.69
23,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,44.0,Cold Wet Weather,4.0,APR,19.0,12634.0,2003-04-01,50.0,1,409,3.98,1.4
24,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,7.0,JUL,4.7,3571.0,2003-07-01,78.7,320,0,0.22,-0.19
25,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,1.0,JAN,238.7,201031.0,2003-01-01,50.0,10,355,1.92,0.69
26,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,2.0,FEB,36.7,6046.0,2003-02-01,45.7,0,454,2.66,0.37
27,2003,6,CA,111,Ventura,19,AVOCADOS,46.0,ARC,H,61.0,Wind/Excess Wind,11.0,NOV,2.0,1234.0,2003-11-01,46.8,0,436,2.35,-1.28
28,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,12,Heat,10.0,OCT,8.0,4600.8,2017-10-01,62.0,76,87,0.34,-1.55
29,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,UH,12,Heat,4.0,APR,8.4,12622.0,2017-04-01,55.6,20,245,2.76,0.48
30,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,UH,12,Heat,7.0,JUL,4.0,1020.0,2017-07-01,78.8,336,0,0.09,-0.75
31,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,12,Heat,6.0,JUN,468.73,575867.25,2017-06-01,72.8,180,17,0.26,-0.26
32,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,12,Heat,2.0,FEB,8.0,9573.0,2017-02-01,47.3,0,420,7.94,4.76
33,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,12,Heat,8.0,AUG,4.1,10728.0,2017-08-01,77.9,320,0,0.27,-0.98
34,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,12,Heat,7.0,JUL,18.49,10828.35,2017-07-01,78.8,336,0,0.09,-0.75
35,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,12,Heat,4.0,APR,18.0,26626.0,2017-04-01,55.6,20,245,2.76,0.48
36,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,UH,12,Heat,6.0,JUN,48.76,88325.2,2017-06-01,72.8,180,17,0.26,-0.26
37,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,UH,12,Heat,2.0,FEB,1.2,1522.0,2017-02-01,47.3,0,420,7.94,4.76
38,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,15,Inability to Prepare Land for Irrigation,10.0,OCT,8.0,4600.8,2017-10-01,62.0,76,87,0.34,-1.55
39,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,UH,42,Freeze,12.0,DEC,3.24,7862.8,2017-12-01,47.5,3,400,0.3,-2.63
40,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,1.0,JAN,6.4,6697.2,2017-01-01,42.2,0,574,9.92,3.61
41,2017,6,CA,65,Riverside,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,12.0,DEC,2.28,2741.6,2017-12-01,47.5,3,400,0.3,-2.63
42,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,12,Heat,10.0,OCT,5.0,6643.0,2017-10-01,62.0,76,87,0.34,-1.55
43,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,UH,12,Heat,4.0,APR,1.4,2613.2,2017-04-01,55.6,20,245,2.76,0.48
44,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,12,Heat,2.0,FEB,2.7,4983.0,2017-02-01,47.3,0,420,7.94,4.76
45,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,UH,12,Heat,2.0,FEB,3.6,9046.8,2017-02-01,47.3,0,420,7.94,4.76
46,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,UH,12,Heat,8.0,AUG,23.88,32896.4,2017-08-01,77.9,320,0,0.27,-0.98
47,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,12,Heat,3.0,MAR,3.5,4342.0,2017-03-01,53.4,10,305,2.45,-0.45
48,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,12,Heat,6.0,JUN,1378.7,1382498.2,2017-06-01,72.8,180,17,0.26,-0.26
49,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,12,Heat,4.0,APR,68.68,42273.4,2017-04-01,55.6,20,245,2.76,0.48
50,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,12,Heat,5.0,MAY,65.6,74518.0,2017-05-01,63.4,47,133,0.43,-0.22
51,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,12,Heat,8.0,AUG,151.3,345229.0,2017-08-01,77.9,320,0,0.27,-0.98
52,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,UH,12,Heat,6.0,JUN,50.42,70575.6,2017-06-01,72.8,180,17,0.26,-0.26
53,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,UH,13,Failure of Irrigation Supply,3.0,MAR,16.0,19936.0,2017-03-01,53.4,10,305,2.45,-0.45
54,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,21,Hail,4.0,APR,4.02,747.6,2017-04-01,55.6,20,245,2.76,0.48
55,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,21,Hail,1.0,JAN,2.5,580.0,2017-01-01,42.2,0,574,9.92,3.61
56,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,6.0,JUN,3.0,9574.0,2017-06-01,72.8,180,17,0.26,-0.26
57,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,2.0,FEB,92.8,66100.0,2017-02-01,47.3,0,420,7.94,4.76
58,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,12.0,DEC,2.0,5041.8,2017-12-01,47.5,3,400,0.3,-2.63
59,2017,6,CA,73,San Diego,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,1.0,JAN,2.5,3422.0,2017-01-01,42.2,0,574,9.92,3.61
60,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,12,Heat,7.0,JUL,12.96,49350.6,2017-07-01,78.8,336,0,0.09,-0.75
61,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,12,Heat,5.0,MAY,24.2,44751.0,2017-05-01,63.4,47,133,0.43,-0.22
62,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,12,Heat,10.0,OCT,16.1,16939.6,2017-10-01,62.0,76,87,0.34,-1.55
63,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,12,Heat,6.0,JUN,171.9,419154.5,2017-06-01,72.8,180,17,0.26,-0.26
64,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,12,Heat,9.0,SEP,31.55,49018.9,2017-09-01,69.8,161,16,0.43,-0.96
65,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,13,Failure of Irrigation Supply,2.0,FEB,17.2,14609.0,2017-02-01,47.3,0,420,7.94,4.76
66,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,UH,31,Excess Moisture/Precipitation/Rain,9.0,SEP,0.33,1098.3,2017-09-01,69.8,161,16,0.43,-0.96
67,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,19.0,39106.0,2017-03-01,53.4,10,305,2.45,-0.45
68,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,41,Frost,1.0,JAN,1107.45,2999118.6,2017-01-01,42.2,0,574,9.92,3.61
69,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,UH,44,Cold Wet Weather,3.0,MAR,47.5,47388.0,2017-03-01,53.4,10,305,2.45,-0.45
70,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,44,Cold Wet Weather,3.0,MAR,5.3,5538.0,2017-03-01,53.4,10,305,2.45,-0.45
71,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,1.0,JAN,18.3,20488.0,2017-01-01,42.2,0,574,9.92,3.61
72,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,3.0,MAR,29.76,12694.4,2017-03-01,53.4,10,305,2.45,-0.45
73,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,6.0,JUN,6.28,4479.0,2017-06-01,72.8,180,17,0.26,-0.26
74,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,2.0,FEB,7.6,8466.0,2017-02-01,47.3,0,420,7.94,4.76
75,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,5.0,MAY,15.7,13682.0,2017-05-01,63.4,47,133,0.43,-0.22
76,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,10.0,OCT,13.8,11954.4,2017-10-01,62.0,76,87,0.34,-1.55
77,2017,6,CA,79,San Luis Obispo,19,AVOCADOS,90.0,APH,UH,99,"Other (Snow, Lightning, Etc.)",9.0,SEP,0.77,2562.7,2017-09-01,69.8,161,16,0.43,-0.96
78,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,12,Heat,10.0,OCT,296.68,204232.15,2017-10-01,62.0,76,87,0.34,-1.55
79,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,UH,12,Heat,9.0,SEP,5.5,4600.3,2017-09-01,69.8,161,16,0.43,-0.96
80,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,12,Heat,6.0,JUN,105.06,98497.5,2017-06-01,72.8,180,17,0.26,-0.26
81,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,UH,12,Heat,6.0,JUN,6.0,1872.6,2017-06-01,72.8,180,17,0.26,-0.26
82,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,12,Heat,9.0,SEP,17.68,11649.4,2017-09-01,69.8,161,16,0.43,-0.96
83,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,UH,12,Heat,7.0,JUL,2.2,2090.8,2017-07-01,78.8,336,0,0.09,-0.75
84,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,UH,12,Heat,11.0,NOV,3.3,3136.2,2017-11-01,53.4,14,252,2.98,-1.41
85,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,12,Heat,4.0,APR,84.2,141912.4,2017-04-01,55.6,20,245,2.76,0.48
86,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,UH,13,Failure of Irrigation Supply,9.0,SEP,0.5,1117.3,2017-09-01,69.8,161,16,0.43,-0.96
87,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,13,Failure of Irrigation Supply,7.0,JUL,14.3,5717.25,2017-07-01,78.8,336,0,0.09,-0.75
88,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,13,Failure of Irrigation Supply,3.0,MAR,90.0,53944.8,2017-03-01,53.4,10,305,2.45,-0.45
89,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,3.6,13307.0,2017-03-01,53.4,10,305,2.45,-0.45
90,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,2.0,FEB,5.5,10705.0,2017-02-01,47.3,0,420,7.94,4.76
91,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,8.0,AUG,7.44,5447.4,2017-08-01,77.9,320,0,0.27,-0.98
92,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,61,Wind/Excess Wind,3.0,MAR,32.74,53243.1,2017-03-01,53.4,10,305,2.45,-0.45
93,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,UH,61,Wind/Excess Wind,10.0,OCT,3.0,6703.8,2017-10-01,62.0,76,87,0.34,-1.55
94,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,H,91,Fire,6.0,JUN,63.6,54981.0,2017-06-01,72.8,180,17,0.26,-0.26
95,2017,6,CA,83,Santa Barbara,19,AVOCADOS,90.0,APH,UH,91,Fire,6.0,JUN,1.5,2211.0,2017-06-01,72.8,180,17,0.26,-0.26
96,2017,6,CA,111,Ventura,19,AVOCADOS,90.0,APH,H,12,Heat,10.0,OCT,4.2,8793.0,2017-10-01,62.0,76,87,0.34,-1.55
97,2017,6,CA,111,Ventura,19,AVOCADOS,90.0,APH,H,12,Heat,11.0,NOV,19.39,3519.6,2017-11-01,53.4,14,252,2.98,-1.41
98,2017,6,CA,111,Ventura,19,AVOCADOS,90.0,APH,H,12,Heat,3.0,MAR,18.8,7543.0,2017-03-01,53.4,10,305,2.45,-0.45
99,2017,6,CA,111,Ventura,19,AVOCADOS,90.0,APH,H,12,Heat,6.0,JUN,1273.8,1536207.1,2017-06-01,72.8,180,17,0.26,-0.26
