,year,Locations State Code,Location State Abbreviation,Location County Code,Location County Name,Commodity Code,Commodity Name,Insurance Plan Code,Insurance Plan Abbreviation,Stage Code,Damage Cause Code,Damage Cause Description,Month of Loss,Month of Loss Abbreviation,Determined Acres,Indemnity Amount,month_year,Average Temperature,Total CDD,Total HDD,Total Precipitation,Avg PDSI
0,2016,6,CA,5,Amador,53,GRAPES,90.0,APH,H,12,Heat,7.0,JUL,10.5,13920.0,2016-07-01,76.8,282,1,0.06,-2.3
1,2016,6,CA,5,Amador,53,GRAPES,90.0,APH,H,93,Wildlife,6.0,JUN,4.7,1089.0,2016-06-01,73.5,201,14,0.27,-1.88
2,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,UH,12,Heat,5.0,MAY,6.68,22476.1,2016-05-01,62.2,33,159,0.77,-1.89
3,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,UH,12,Heat,7.0,JUL,5.4,10616.55,2016-07-01,76.8,282,1,0.06,-2.3
4,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,H,12,Heat,7.0,JUL,9.87,11579.1,2016-07-01,76.8,282,1,0.06,-2.3
5,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,UH,21,Hail,5.0,MAY,6.68,22476.1,2016-05-01,62.2,33,159,0.77,-1.89
6,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,H,21,Hail,5.0,MAY,7.22,19368.4,2016-05-01,62.2,33,159,0.77,-1.89
7,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,UH,31,Excess Moisture/Precipitation/Rain,3.0,MAR,445.47,1468293.15,2016-03-01,52.5,6,337,4.88,-2.08
8,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,2073.74,3931187.0,2016-03-01,52.5,6,337,4.88,-2.08
9,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,5.0,MAY,22.59,19548.9,2016-05-01,62.2,33,159,0.77,-1.89
10,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,UH,41,Frost,3.0,MAR,8.13,35849.5,2016-03-01,52.5,6,337,4.88,-2.08
11,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,H,44,Cold Wet Weather,3.0,MAR,28.88,77473.6,2016-03-01,52.5,6,337,4.88,-2.08
12,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,H,44,Cold Wet Weather,5.0,MAY,37.0,35689.0,2016-05-01,62.2,33,159,0.77,-1.89
13,2016,6,CA,7,Butte,36,PRUNES,31.0,SCO-YP,FL,55,ARPI/SCO/STAX/MP Crops Only,4.0,APR,0.0,25435.0,2016-04-01,57.9,22,213,1.52,-2.1
14,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,H,61,Wind/Excess Wind,3.0,MAR,572.04,943066.0,2016-03-01,52.5,6,337,4.88,-2.08
15,2016,6,CA,7,Butte,36,PRUNES,90.0,APH,UH,61,Wind/Excess Wind,3.0,MAR,121.64,368665.6,2016-03-01,52.5,6,337,4.88,-2.08
16,2016,6,CA,7,Butte,221,PROCESSING CLING PEACHES,90.0,APH,H,12,Heat,6.0,JUN,9.3,10017.0,2016-06-01,73.5,201,14,0.27,-1.88
17,2016,6,CA,9,Calaveras,53,GRAPES,90.0,APH,H,12,Heat,7.0,JUL,2.6,347.0,2016-07-01,76.8,282,1,0.06,-2.3
18,2016,6,CA,9,Calaveras,53,GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,5.0,MAY,4.0,6939.0,2016-05-01,62.2,33,159,0.77,-1.89
19,2016,6,CA,11,Colusa,36,PRUNES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,255.12,224371.2,2016-03-01,52.5,6,337,4.88,-2.08
20,2016,6,CA,11,Colusa,36,PRUNES,90.0,APH,UH,31,Excess Moisture/Precipitation/Rain,3.0,MAR,30.12,122586.0,2016-03-01,52.5,6,337,4.88,-2.08
21,2016,6,CA,11,Colusa,36,PRUNES,90.0,APH,H,61,Wind/Excess Wind,3.0,MAR,170.08,149580.8,2016-03-01,52.5,6,337,4.88,-2.08
22,2016,6,CA,11,Colusa,36,PRUNES,90.0,APH,UH,61,Wind/Excess Wind,3.0,MAR,20.08,81724.0,2016-03-01,52.5,6,337,4.88,-2.08
23,2016,6,CA,11,Colusa,87,TOMATOES,90.0,APH,R,21,Hail,4.0,APR,35.0,17640.0,2016-04-01,57.9,22,213,1.52,-2.1
24,2016,6,CA,11,Colusa,87,TOMATOES,90.0,APH,R,31,Excess Moisture/Precipitation/Rain,3.0,MAR,287.368,138335.0,2016-03-01,52.5,6,337,4.88,-2.08
25,2016,6,CA,13,Contra Costa,53,GRAPES,90.0,APH,H,12,Heat,7.0,JUL,16.0,14484.0,2016-07-01,76.8,282,1,0.06,-2.3
